id,clean_title,stemmed_body,category
64168,hoaks rupiah sengaja dilemahkan bank indonesia,jelas edar buah unggah video media sosial facebook klaim narasi nilai rupiah sengaja lemah bank indonesia tuju dorong ekspor tarik investor asing fakta klaim sebut benar lansir kompascom laku kece guna teknik reverse image search masuk potong video hasil arah salur youtube milik astronacci judul urgent rupiah hit what next apa harus kalian siap tayang mei astronacci usaha jasa riset edukasi trading video tayang tengah mei sebut robert benar pancing diskusi kena isu rupiah sengaja lemah telah cermat ada nyata robert gema video sebut tuding bank indonesia sengaja lemah nilai tukar rupiah dollar as ekonom center of economic and law studies celios nailul huda kata duga bank indonesia lemah nilai rupiah tidak alas dia hal laku bank indonesia justru rugi itu salah satu tugas fungsi harus laku bank indonesia jaga stabilitas nilai tukar rupiah jaga inflasi link counter,Klarifikasi Hoaks
64167,hoaks bantuan dana pensiun mengatasnamakan kemendikdasmen,jelas edar buah unggah video media sosial tiktok narasi mengatasnamakan menteri didik dasar tengah mendikdasmen kait program bantu dana pensiun indonesia tahun fakta klaim sebut benar lansir kemendikdasmengoid dapat program bantu dana pensiun tahun umum kemendikdasmen maupun mendikdasmen masyarakat imbau percaya informasi asal sumber tidak resmi tidak klik taut curiga tidak beri data pribadi pihak tidak kenal kemendikdasmen ingat masyarakat selalu periksa benar informasi lalu kanal resmi sebar link counter,Klarifikasi Hoaks
64166,hoaks tarif listrik naik dua kali lipat,jelas edar buah unggah media sosial facebook narasi klaim tarif tagih listrik usaha daerah air minum pdam naik kali lipat fakta klaim sebut tidak benar lansir turnbackhoaxid masuk kata kunci tarif listrik naik kali lipat mesin cari google hasil arah berita tempoco judul pln sampai tak naik tarif listrik berita sebut executive vice president komunikasi korporat tanggung jawab sosial lingkung pln gregorius adi trianto nyata tarif listrik periode apriljuni tetap laku tidak alami ubah banding periode belum link counter,Klarifikasi Hoaks
64165,hoaks tautan pendaftaran lowongan telkom indonesia tahun,jelas edar buah unggah media sosial threads klaim ada taut daftar lowong kerja pt telkom indonesia tahun fakta klaim sebut tidak benar lansir turnbackhoaxid taut unggah arah halaman curiga isi formulir digital minta isi data pribadi nama alamat nomor telegram proses rekrutmen pt telkom indonesia dapat laku lalu laman resmi careerstelkomcoid tahu ada lowong kerja sedang buka link counter,Klarifikasi Hoaks
64163,hoaks artikel dadan hindayana sebut jokowi terima uang suap mbg rp triliun,jelas edar unggah tangkap layar judul artikel media sosial twitter x klaim mantan kepala badan gizi nasional bgn dad hindayana tahan jaksa agung jagung sebut mantan presiden joko widodo jokowi terima uang suap mbg rp triliun fakta klaim sebut benar lansir kompascom laku telusur guna teknik reverse image search hasil arah artikel laman geloraco judul dad hindayana dua eks wakil kepala bgn tahan jagung artikel informasi tahan dad dua mantan wakil kepala bgn lodewyk pusung sony sonjaya tetap sangka jagung kasus duga korupsi simpang tata kelola program mbg tahun sampai ini tidak ada informasi valid dad hindayana sebut jokowi terima uang suap mbg rp triliun link counter,Klarifikasi Hoaks
64162,hoaks tautan pendaftaran lowongan kerja untuk program mbg,jelas edar buah unggah media sosial facebook isi taut klaim akses daftar lowong kerja program makan gizi gratis mbg tahun lowong kerja sebut buka bagai posisi mulai koki asisten dapur hingga tukang masak cuci piring fakta taut sebut benar lansir kompascom akun facebook sebut bukan akun resmi badan gizi nasional bgn taut sebut arah situs resmi bgn rupa modus phishing pancing korban beri data pribadi nama lengkap sesuai ktp nomor telepon guna akun telegram kepala biro hukum humas bgn khairul hidayat sampai bgn pernah minta data pribadi lalu salur tidak resmi jika sangkut proses seleksi rekrutmen khairul hidayat imbau seluruh masyarakat tetap waspada berhatihati segala bentuk informasi tidak sumber kanal resmi bgn informasi resmi kait rekrutmen pegawai umum lalu situs web media sosial resmi bgn link counter,Klarifikasi Hoaks
64161,hoaks pfizer rilis daftar efek samping vaksin covid,jelas edar unggah media sosial facebook isi narasi klaim pfizer baru terbit daftar resmi efek samping vaksin covid sebut cakup bagai sakit serius beku darah gagal jantung stroke mati janin hingga mati bayi dadak unggah sebut tuduh vaksin covid lebih bahaya sakit cegah sebut kondisi sebut tindak kriminal fakta klaim sebut tidak benar lansir tirtoid daftar edar asal dokumen pantau aman vaksin catat seluruh lapor jadi medis vaksinasi bukan daftar efek samping bukti sebab vaksin pfizer otoritas sehat internasional pfizer tegas dokumen sebut disalahartikan hingga ini regulator sehat nyata manfaat vaksin covid lebih besar banding risiko bagi besar efek samping telah verifikasi sifat ringan sementara nyeri lokasi sunti demam lelah sakit kepala link counter,Klarifikasi Hoaks
64160,hoaks tautan lowongan kerja bank permata,jelas edar buah unggah media sosial tiktok klaim ada taut lowong kerja bank permata tahun fakta klaim sebut tidak benar lansir turnbackhoaxid taut unggah arah laman minta isi data pribadi upa nama asal provinsi nomor telegram laman resmi permatabankcom menu karier dapat enam posisi sedia hingga akhir juni lamar perlu pilih salah satu posisi karir buat akun lamar ikut jumlah kanal informasi resmi putar lowong kerja bank permata antara akun linkedin permata bank instagram lifeatpermatabank laman permatabankcom link counter,Klarifikasi Hoaks
64150,hoaks dandhy laksono temui miliarder amerika serikat,jelas edar buah unggah video media sosial facebook klaim dandhy laksono sutradara balik film dokumenter investigatif judul pesta babi kolonialisme zaman temu orang miliarder asal amerika serikat george soros kait film dokumenter buat fakta klaim dandhy laksono temu miliarder amerika serikat george soros hoaks lansir tirtoid bbc indonesia ban pihak pernah rilis berita kait temu dandhy laksono george soros laman bbc indonesia tegas informasi sebut tidak benar tidak dukung informasi media kredibel sutradara utama sekaligus konseptor balik buat film dokumenter investigatif pesta babi dandhy laksono nyata film sebut rupa hasil patungan gotong royong bagai lembaga link counter,Klarifikasi Hoaks
64149,hoaks bgn impor ratusan juta butir telur dari china,jelas edar media sosial facebook unggah foto narasi mbg pesan juta butir telur china guna apbn zulkifli usul pajak rakyat naik fakta laku telusur masuk kata kunci bgn impor ratus juta butir telur china mesin cari google hasil temu lapor resmi maupun berita kredibel benar klaim fakta gambar asli foto sebut arah berita idxchannelcom judul mbg butuh juta telur per tahun kadin gaet usaha china bangun industri unggas muat rabu april link counter,Klarifikasi Hoaks
